name,number,note,reading,kind,birth_date,m1_url,canonical_name,canonical_number
ラバーガール,,,らばーがーる,u,2001年,,,
飛永翼,,,とびながつばさ,p,1983年2月13日,,,
大水洋介,,,おおみずようすけ,p,1982年12月12日,,,
りあるキッズ,,,りあるきっず,u,1996年5月,,,
安田善紀,,,やすだよしのり,p,1985年9月20日,,,
長田融季,,,ながたゆうき,p,1985年7月30日,,,
リンゴスター,,,りんごすたー,u,2010年,,,
小川裕史,,,おがわゆうし,p,1991年7月31日,,,
平田俊之,,,ひらたとしゆき,p,1989年10月14日,,,
タッカーノ,,,たっかーの,p,1988年3月1日,,,
ロッチ,,,ろっち,u,2005年,,,
コカドケンタロウ,,,こかどけんたろう,p,1978年8月8日,,,
中岡創一,,,なかおかそういち,p,1977年12月8日,,,
ロバート,,,ろばーと,u,1998年12月,,,
秋山竜次,,,あきやまりゅうじ,p,1978年8月15日,,,
馬場裕之,,,ばばひろゆき,p,1979年3月22日,,,
山本博,,,やまもとひろし,p,1978年9月5日,,,
ロビンフット,,,ろびんふっと,u,2000年05月,https://www.m-1gp.com/combi/2451.html,,
マー坊,,,まーぼう,p,1975年6月5日,,,
おぐ,,,おぐ,p,1976年5月5日,,,
ロングコートダディ,,,ろんぐこーとだでぃ,u,2009年4月1日,https://www.m-1gp.com/combi/1525.html,,
兎,,,うさぎ,p,1988年08月19日,,,
堂前透,,,どうまえとおる,p,1990年01月16日,,,
ワタリ119,,,わたりいちいちきゅう,p,1993年10月24日,,,
わらふぢなるお,,,わらふぢなるお,u,2010年5月1日,https://www.m-1gp.com/combi/8961.html,,
ふぢわら,,,ふぢわら,p,1984年05月21日,,,
口笛なるお,,,くちぶえなるお,p,1981年07月12日,,,
井上マー,,,いのうえまー,p,1976年2月8日,,,
芋洗坂係長,,,いもあらいざかかかりちょう,p,1967年12月18日,,,
横澤夏子,,,よこさわなつこ,p,1990年07月20日,,,
我人祥太,,,がじんしょうた,p,1983年10月29日,,,
街裏ぴんく,,,まちうらぴんく,p,1985年2月6日,,,
鬼ヶ島,,,おにがしま,u,2007年7月,,,
アイアム野田,,,あいあむのだ,p,1977年7月12日,,,
おおかわら,,,おおかわら,p,1977年5月31日,,,
アイアム和田,,,あいあむわだ,p,1978年8月17日,,,
エレファントジョン,,,えれふぁんとじょん,u,2004年4月,https://www.m-1gp.com/combi/260.html,,
加藤憲,,,かとうけん,p,1976年12月27日,,,
ガッテン森枝,,,がってんもりえだ,p,1978年06月02日,,,
アメデオ,,,あめでお,u,1998年,,,
最高の人間,,,さいこうのにんげん,u,2022年,,,
吉住,,,よしずみ,p,1989年11月12日,,,
岡野陽一,,,おかのよういち,p,1981年11月29日,,,
巨匠,,,きょしょう,u,2008年,,,
本田和之,,,ほんだかずゆき,p,1987年12月8日,,,
空気階段,,,くうきかいだん,u,2012年,,,
鈴木もぐら,,,すずきもぐら,p,1987年5月13日,,,
水川かたまり,,,みずかわかたまり,p,1990年7月22日,,,
桂三若,,,かつらさんじゃく,p,1970年3月5日,,,
ジャリズム,,,じゃりずむ,u,1991年11月3日,,,
桂三度,,,かつらさんど,p,1969年8月27日,,,
世界のナベアツ,,,せかいのなべあつ,p,,,桂三度,
ジャリズム渡辺あつむ,,,じゃりずむわたなべあつむ,p,,,桂三度,
インタビューマン山下,,,いたびゅーまんやました,p,1968年10月29日,,,
犬の心,,,いぬのこころ,u,1998年1月,,,
おしみんまる,,,おしみんまる,p,1977年5月5日,,,
いけや賢二,,,いけやけんじ,p,1978年07月05日,,,
厚切りジェイソン,,,あつぎりじぇいそん,p,1986年4月9日,,,
高田ぽる子,,,たかだぽるこ,p,1999年1月26日,,,
佐久間一行,,,さくまかずゆき,p,1977年9月3日,,,
三浦マイルド,,,みうらまいるど,p,1977年10月18日,,,
寺田寛明,,,てらだひろあき,p,1990年10月6日,,,
守谷日和,,,もりやびより,p,1980年10月26日,,,
夙川アトム,,,しゅくがわあとむ,p,1979年12月22日,,,
小島よしお,,,こじまよしお,p,1980年11月16日,,,
笑福亭松喬,,,しょうふくていしょきょう,p,1951年2月10日,,,
笑福亭三喬,,,しょうふくていさんきょう,p,,,笑福亭松喬,
陣内智則,,,じんないとものり,p,1974年2月22日,,,
石出奈々子,,,いしでななこ,p,1984年9月30日,,,
千鳥,,,ちどり,u,2000年07月,,,
大悟,,,だいご,p,1980年3月25日,,,
千鳥 大悟,,,ちどりだいご,p,,,大悟,
ノブ,,,のぶ,p,1979年12月30日,,,
麒麟,,,きりん,u,1999年10月,,,
川島明,,,かわしまあきら,p,1979年2月3日,,,
田村裕,,,たむらひろし,p,1979年9月3日,,,
大谷健太,,,おおたにけんた,p,1985年9月11日,,,
大輪教授,,,おおわきょうじゅ,p,1975年5月21日,,,
粋なり（大輪）,,,いきなりおおわ,p,,,大輪教授,
滝音,,,たきおん,u,2016年2月14日,https://www.m-1gp.com/combi/4033.html,,
秋定遼太郎,,,あきさだりょうたろう,p,1987年10月29日,,,
さすけ,,,さすけ,p,1990年03月07日,,,
男性ブランコ,,,だんせいぶらんこ,u,2011年04月01日,https://www.m-1gp.com/combi/1372.html,,
平井まさあき,,,ひらいまさあき,p,1987年08月01日,,,
浦井のりひろ,,,うらいのりひろ,p,1987年12月03日,,,
中山女子短期大学,,,なかやまじょしたんきだいがく,p,1986年10月6日,,,
なおき,,,なおき,p,1966年3月13日,,,
中田なおき,,,なかたなおき,p,,,なおき,
長州小力,,,ちょうしゅうこりき,p,1972年2月5日,,,
田上よしえ,,,たのうえよしえ,p,1972年12月24日,,,
田津原理音,,,たづはらりおん,p,1993年05月25日,,,
土肥ポン太,,,どひぽんた,p,1971年6月6日,,,
東京03,,,とうきょうぜろさん,u,2003年9月30日,,,
飯塚悟志,,,いいづかさとし,p,1973年5月27日,,,
角田晃広,,,かくたあきひろ,p,1973年12月13日,,,
豊本明長,,,とよもとあきなが,p,1975年6月6日,,,
アルファルファ,,,あるふぁるふぁ,u,1995年,,,
プラスドライバー,,,ぷらすどらいばー,u,1996年4月,,,
大田賢二,,,おおたけんじ,p,1973年9月4日,,,
和知晃,,,わちのぼる,p,1970年6月26日,,,
東京ホテイソン,,,とうきょうほていそん,u,2015年4月1日,https://www.m-1gp.com/combi/357.html,,
ショーゴ,,,しょーご,p,1994年02月01日,,,
たける,,,たける,p,1995年03月24日,,,
チュートリアル,,,ちゅーとりある,u,1998年03月,,,
徳井義実,,,とくいよしみ,p,1975年04月16日,,,
徳井義実（チュートリアル）,,,とくいよしみちゅーとりある,p,,,徳井義実,
チュートリアル 徳井,,,ちゅーとりあるとくい,p,,,徳井義実,
福田充徳,,,ふくだみつのり,p,1975年08月11日,,,
南野やじ,,,みなみのやじ,p, 1976年8月30日,,,
博多華丸・大吉,,,はかたはなまるだいきち,u,1990年,,,
華丸マル・大吉,,,はなまるまるだいきち,u,,,博多華丸・大吉,
博多華丸,,,はかたはなまる,p,1970年04月08日,,,
博多大吉,,,はかただいきち,p,1971年03月10日,,,
変ホ長調,,,へんほちょうちょう,u,2005年9月1日,https://www.m-1gp.com/combi/90.html,,
彼方さとみ,,,かなたさとみ,p,1970年4月1日,,,
小田ひとみ,,,おだひとみ,p,1965年2月24日,,,
O・D・A,,,おーでぃーえー,p,,,小田ひとみ,
夜ふかしの会,,,よふかしのかい,u,2011年11月18日,,,
鬼頭真也,,,きとうしんや,p,1978年5月8日,,,
鬼頭真也（夜ふかしの会）,,,きとうしんやよふかしのかい,p,,,鬼頭真也,
大重わたる,,,おおしげわたる,p,1982年2月6日,,,
大重わたる（夜ふかしの会）,,,おおしげわたるよふかしのかい,p,,,大重わたる,
原慎一,,,はらしんいち,p,1982年11月7日,,,
砂川禎一郎,,,すながわていいちろう,p,1981年9月24日,,,
三宅十空,,,みやけそら,p,1979年6月20日,,,
高本剛志,,,たかもとたけし,p,1976年1月18日,,,
雷ジャクソン高本,,,かみなりじゃくそんたかもと,p,,,高本剛志,
隣人,,,りんじん,u,2013年5月5日,https://www.m-1gp.com/combi/6438.html,,
橋本市民球場,,,はしもとしみんきゅうじょう,p,1992年07月10日,,,
中村遊直,,,なかむらしょーとらいなー,p,1988年06月15日,,,
令和ロマン,,,れいわろまん,u,2018年04月,https://www.m-1gp.com/combi/5761.html,,
魔人無骨,,,まじんぶこつ,u,,,令和ロマン,
松井ケムリ,,,まついけむり,p,1993年05月29日,,,
髙比良くるま,,,たかひらくるま,p,1994年09月03日,,,
濱田祐太郎,,,はまだゆうたろう,p,1989年09月08日,,,
素人はまだ,,,しろうとはまだ,p,,,濱田祐太郎,
家族チャーハン,,,かぞくちゃーはん,u,2022年08月30日,https://www.m-1gp.com/combi/21852.html,,
江頭,,,えがしら,p,1990年06月24日,,,
大石,,,おおいし,p,1993年01月15日,,,
天才ピアニスト,,,てんさいぴあにすと,u,2016年5月25日,https://www.m-1gp.com/combi/4014.html,,
竹内知咲,,,たけうちちさき,p,1992年01月28日,,,
ますみ,,,ますみ,p,1987年04月28日,,,
金魚番長,,,きんぎょばんちょう,u,2019年04月01日,https://www.m-1gp.com/combi/7504.html,,
古市勇介,,,ふるいちゆうすけ,p,1994年04月15日,,,
箕輪智征,,,みのわともゆき,p,1994年09月12日,,,
ソマオ・ミートボール,,,そまおみーとぼーる,p,1997年12月19日,,,
フースーヤ,,,ふーすーや,u,2016年4月1日,https://www.m-1gp.com/combi/1348.html,,
谷口理,,,たにぐちおさむ,p,1993年05月01日,,,
田中ショータイム,,,たなかしょーたいむ,p,1993年07月10日,,,
フランスピアノ,,,ふらんすぴあの,u,2017年2月1日,https://www.m-1gp.com/combi/3617.html,,
ヨーヘー,,,よーへー,p,1993年07月14日,,,
なかがわりょう,,,なかがわりょう,p,1992年05月05日,,,
マラソンズ,,,まらそんず,u,,,,
上原,,,うえはら,p,,,,
島野,,,しまの,p,,,,
ダブルヒガシ,,,だぶるひがし,u,2014年4月1日,https://www.m-1gp.com/combi/646.html,,
東良介,,,ひがしりょうすけ,p,1992年08月25日,,,
大東翔生,,,おおひがししょうい,p,1993年01月16日,,,
素敵じゃないか,,,すてきじゃないか,u,2014年04月01日,https://www.m-1gp.com/combi/1820.html,,
バニラボックス,,,ばにらぼっくす,u,,,素敵じゃないか,
吉野晋右,,,よしのしんすけ,p,1990年05月14日,,,
柏木成彦,,,かしわぎなるひこ,p,1990年05月14日,,,
サスペンダーズ,,,さすぺんだーず,u,2014年4月1日,https://www.m-1gp.com/combi/15102.html,,
依藤たかゆき,,,いとうたかゆき,p,1990年06月07日,,,
古川彰悟,,,ふるかわしょうご,p,1990年04月26日,,,
ハイツ友の会,,,はいつとものかい,u,2019年4月,https://www.m-1gp.com/combi/7783.html,,
清水香奈芽,,,しみずかなめ,p,1997年08月02日,,,
西野,,,にしの,p,1992年08月01日,,,
オフローズ,,,おふろーず,u,2016年4月1日,https://www.m-1gp.com/combi/3655.html,,
明賀愛貴,,,みょうがあいき,p,1996年09月08日,,,
カンノコレクション,,,かんのこれくしょん,p,1995年04月02日,,,
宮崎駿介,,,みやざきしゅんすけ,p,1992年12月08日,,,
ドーナツ・ピーナツ,,,ぴーなつどーなつ,u,2015年4月,https://www.m-1gp.com/combi/4030.html,,
ドーナツ,,,どーなつ,p,1992年06月21日,,,
ピーナツ,,,ぴーなつ,p,1992年12月03日,,,
ハノーバー,,,はのーばー,u,2016年4月1日,https://www.m-1gp.com/combi/6487.html,,
